Wardname,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
Brent - Harlesden,25.86528377,8,67,52.9,23
Lewisham - Grove Park,20.82878209,12.6,37.5,26.9,7
Redbridge - Valentines,24.03172131,8.7,77.6,50.3,21
Ealing - Greenford Broadway,23.44397163,11,57.3,48.6,22.2
Havering - Mawneys,19.41927991,18.1,11.5,9.3,2.5
Waltham Forest - Leytonstone,16.42208246,7.5,47.6,42.6,15.4
Ealing - Ealing Broadway,14.54843538,11.9,30.5,44.3,18.6
Islington - Canonbury,17.33764082,9.7,28.2,29.7,9.1
Camden - Hampstead Town,17.49778172,15.9,20,40.9,10.4
Havering - Upminster,16.77705914,22.5,4.8,6.1,0.9
Barking & Dagenham - Longbridge,22.96567346,11.6,57.4,33.3,11.9
Harrow - Rayners Lane,20.63106796,13.9,65.5,48,17.6
Haringey - Woodside,19.18836985,8.5,43.2,54.2,25.6
Camden - Swiss Cottage,16.48837209,11.6,32.4,51.2,17.8
Ealing - South Acton,20.45317017,11.1,43.5,50.5,23.4
Hounslow - Brentford,17.91263151,9.9,33.9,38.3,15
Merton - Cannon Hill,17.73164666,15.8,25.4,29.6,7.7
Enfield - Haselbury,25.41966427,9.3,54.3,46,22.1
Wandsworth - Bedford,14.64150943,7.5,27.6,30.3,8.3
Hillingdon - Pinkwell,26.33574863,8.6,68.2,45.3,18.5
Kensington & Chelsea - Cremorne,15.5826218,15.3,32.5,44.4,17.2
Tower Hamlets - Bow West,19.25960275,7.8,40.7,32,11.3
Wandsworth - Tooting,17.90750662,9,52.7,45.4,15.2
Hounslow - Isleworth,21.32420473,9.8,34.8,33.8,11.7
Southwark - Faraday,23.24168549,7,60.7,45.9,14.6
Kingston upon Thames - Surbiton Hill,16.70331772,13.5,19,25,7
Greenwich - Peninsula,16.92406234,8.3,30.6,33,10.4
Southwark - Surrey Docks,12.16970599,5.7,30.9,42.7,15.4
Enfield - Enfield Lock,27.28763131,8.2,45.1,33.8,14
Tower Hamlets - Bethnal Green South,19.70916278,5.3,64.3,45.5,23.1
Newham - Beckton,21.99326332,4.8,54.2,49.7,23.5
Southwark - Peckham Rye,20.29146323,8,35.8,28.8,5.9
Bromley - Darwin,18.31702544,21.9,4.8,6.1,0.4
Ealing - Southall Broadway,21.18461195,10.5,93.7,64.1,36
Bexley - Falconwood & Welling,19.11111111,15.7,15.4,12.4,2.6
Haringey - Stroud Green,16.27827862,6.9,25.9,31.3,9
Southwark - Chaucer,14.8240875,5.2,49.9,45.2,13.3
Hounslow - Cranford,21.37875101,10.1,73.9,56.2,26.5
Camden - Kilburn,17.31184582,11.2,40.1,47.9,18.7
Hackney - Chatham,21.95435308,6.9,54.4,41.3,14.4
Bromley - Cray Valley East,22.1819359,15.9,14.6,12.3,2.5
Waltham Forest - Wood Street,23.30191502,9.2,50.4,38.7,14.4
Enfield - Grange,17.60956802,18.8,19.6,22.1,6.4
Tower Hamlets - Saint Katherine's & Wapping,13.66529691,6.1,37.6,41.5,15.9
Sutton - Sutton North,20.13520039,16.5,21.9,21.1,6.1
Westminster - Marylebone High Street,8.527879606,11.7,27.8,58.5,21.8
Croydon - Fairfield,17.58706017,11.7,48.7,42.3,13.7
Bexley - Erith,23.63726873,11.7,31.4,23.1,5.6
Islington - Highbury West,15.18962076,6.7,32.1,34.5,12.8
Ealing - Hanger Hill,18.97050318,12.8,43.1,53.1,23.8
Wandsworth - Nightingale,16.20682608,9.5,21.4,27.7,6.7
Sutton - Sutton South,14.87654964,17.5,24.4,29.4,9.7
Lewisham - Catford South,21.4670698,11.3,56.2,32.2,7.1
Waltham Forest - Cathall,21.36220472,6.8,61,50.1,20
Redbridge - Mayfield,24.2612639,11.6,73.3,41.1,13.5
Kingston upon Thames - Tudor,22.93798288,13.6,17.6,23.9,6.1
Hackney - Wick,22.31975456,7.9,51.6,35.1,10.9
Kensington & Chelsea - Courtfield,12.51539237,9.1,24.8,61.4,28.3
Harrow - Roxbourne,24.45431868,9.8,66.3,48.4,20.9
Haringey - Hornsey,18.12939411,8.2,31,32.2,10.5
Waltham Forest - Endlebury,18.61136999,16.9,22.4,17.5,3.8
Hounslow - Bedfont,22.23446973,11.2,35.7,31,12.5
Southwark - Camberwell Green,21.18813199,7.4,61.1,46.8,13.4
Southwark - Riverside,12.44614315,6.4,31.2,40.5,12.7
Westminster - Regent's Park,15.29791995,16.3,43.7,59.9,23.7
Merton - Graveney,18.24572127,10.9,57.5,54.1,23.1
Bromley - Hayes & Coney Hall,20.04275116,17.9,8.3,8.7,1
Camden - Highgate,17.81834779,15.2,20.2,27.1,5.5
Lambeth - Oval,13.9944393,7.2,36.9,42.6,15
Hackney - Springfield,33.18791404,6.9,44.9,39.4,18.2
Greenwich - Eltham West,21.99249928,12.3,24.6,21.3,6.4
Hackney - Cazenove,28.37514934,5.4,43.3,36.4,16.4
Brent - Wembley Central,18.21144836,9.7,86,68.5,32.9
Waltham Forest - High Street,19.50874213,7.6,50.7,44.4,18
Hounslow - Hounslow South,19.31100982,12.5,45.1,38.7,13.2
Bexley - Blackfen & Lamorbey,19.65900528,17.5,7.3,7.1,1.2
Barking & Dagenham - Village,24.95596551,11.3,34.8,26,7.5
Tower Hamlets - Bromley-by-Bow,26.73342541,5.8,70.4,43.5,22
Sutton - Saint Helier,24.16938656,10.6,25.5,22.6,8.1
Waltham Forest - Cann Hall,21.68997753,7.1,57,48.8,18.2
Wandsworth - East Putney,13.273865,11,20.6,39.4,9.3
Haringey - Fortis Green,21.27642537,11,20.1,27.5,8.3
Croydon - South Norwood,21.29797796,9.9,52.3,32.1,8.2
